Canal,NumeroUsuarios,Timestamp
fundamentos_de_usabilidad,0,2025-11-17 03:45:28.704000Z
general,0,2025-11-17 03:45:28.707000Z
programacion_2,0,2025-11-17 03:45:28.707000Z
programación_2,0,2025-11-17 03:45:28.707000Z
